Name,Category,TVL,1d Change,7d Change,1m Change,Mcap/TVL,Fees 24h,Revenue 24h,Holders Revenue 24h,Incentives 24h,Fees 7d,Revenue 7d,Holders Revenue 7d,Incentives 7d,Fees 30d,Revenue 30d,Holders Revenue 30d,Incentives 30d,Fees 1Y,Monthly Avg 1Y Fees,Revenue 1Y,Holders Revenue 1Y,Monthly Avg 1Y Rev,Monthly Avg 1Y Holders Revenue,Incentives 1Y,Monthly Avg 1Y Incentives,Cumulative Fees,Cumulative Revenue,Cumulative Holders Revenue,Cumulative Incentives,P/F,P/S,Earnings 24h,Earnings 7d,Earnings 30d,Earnings 1Y,Monthly Avg 1Y Earnings,Cumulative Earnings,Spot Volume 24h,Spot Volume 7d,Spot Change 7d,Spot Cumulative Volume
"""HyperSwap""",Dexs,14019303.594170278,-11.659640557955058,-4.962917049362877,3.885922164216423,0.15,43981,7997,5508,,371318,67374,45047,,550218,100084,66978,,28332972,2464754.373930086,5625495,3877751,490659.2200573067,338219.8866475645,,,28376953,5633492,3883259,,0.34,1.85,7997,67374,100084,5625495,490659.2200573067,5633492,50094664,321039760,565.5,21368039224
"""Abracadabra""",,13934013.168616451,-5.744655707511643,-36.63479481922053,-46.47457328004831,2.61,,,,0,,,,0,,,,0,,,,,,,0,0,,,,0,,,,,,,,,,,,
"""Pico Staked SOL""",Liquid Staking,13831129.895041885,-4.715031032163566,-21.326972251678686,-26.097339178262786,,0,16,,,15360,231,,,84788,1391,,,1833020,152868.8460273973,6572,,548.0867945205479,,,,2131894,6572,,,,,16,231,1391,6572,548.0867945205479,6572,,,,
"""ImmutableX""",NFT Marketplace,13792286.488262746,-4.477444136211525,-24.758424321901085,-28.421507018024915,11.05,,,,0,,,,0,,,,0,,,,,,,0,,,,,0,,,,,,,,,,,,
"""FlokiFi Locker""",Token Locker,13717455.502934353,-3.0138639144988404,-16.41817043749064,-25.44979852233845,24.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Manifest Trade""",Dexs,13465161.128603239,4.414103855616715,136.8468606758877,271.401893362241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281773100,1416060488,48.86,7472075496
"""Belt Finance""",Yield,13406499.629142456,-2.5526323749034376,-13.842140049447504,-14.693406379944642,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Mu Digital""",RWA,13266188.210939996,0.0011641944689982917,0.15913350829170106,-4.277277856299567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MorpheusAI""",AI Agents,13203190.795857396,-3.43833492851482,-24.882649417106848,-48.70560388552464,0.29,946,946,876,,8528,8528,7205,,48051,48051,40365,,1675810,139757.96273972603,1675810,2149355,139757.96273972603,179250.31835616438,,,9679887,9679887,7052148,,6.7,6.7,946,8528,48051,1675810,139757.96273972603,9679887,,,,
"""Estate Protocol""",RWA,13154766.435063612,-0.015195042108904811,-0.001728524064442361,6.315415719596879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Aborean Finance""",Dexs,13106873.719370965,-6.534822646612421,-24.024398954026836,-12.41091742398132,0.08,4870,4870,4870,,56248,56248,56248,,240123,240123,240123,,912675,225868.51219512193,912675,912675,225868.51219512193,225868.51219512193,,,912675,912675,912675,,0.38,0.38,4870,56248,240123,912675,225868.51219512193,912675,3896772,23058507,25.4,789126015
"""Set Protocol""",Indexes,13105525.206841344,-2.7534486372880442,-19.57340520613771,-26.974062577711923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Republic Note""",RWA,13042298.91118521,-29.166805158084536,-21.562163301278105,-46.89364309232724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Loopring""",Dexs,13041754.472466074,-3.3276394989471267,-20.4675218821272,-24.863683840592962,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BounceBit Prime""",Basis Trading,12963128.671797011,-0.04656352848797795,0.07756661403523266,0.35873760971729257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""dForce""",,12943856.88112869,-0.2853756148236558,-15.9127297712127,-1.5687994638988054,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Byreal""",Dexs,12941991.68128081,-0.07240628687793468,-7.8583997552524485,11.02345834857063,,25359,3043,,,232507,27900,,,962409,115486,,,2663652,373647.773640553,319636,,44837.418617511525,,,,2689011,322679,,,,,3043,27900,115486,319636,44837.418617511525,322679,18585634,124732899,-17.75,1983412186
"""Goose""",CeDeFi,12794971.678627515,-0.09806811624137703,-0.010884351400377813,-0.17112166427887085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Stakee""",Liquid Staking,12684394.600184642,2.696917482302724,-8.145317204406576,-24.6258789249514,,885,,,,7536,,,,39148,,,,691511,57670.12284931507,,,,,,,977714,,,,,,,,,,,,,,,
"""cSigma Finance""",RWA Lending,12653301.544905037,0.029135882669483804,6.282209571067034,6.252948839331285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BackedFi""",RWA,12573746.637643166,0.5404493785486562,0.036412792503428125,1.9486288634540088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Stellar DEX""",Dexs,12527032.435556896,-0.48867443589642784,-11.31679660723487,-33.306652180100066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Astroport""",Dexs,12496569.674749395,1.0492173369749704,-10.036992566403933,-20.29780507861268,0.04,629,0,,,4699,0,,,15218,0,,,191944,27955.86296650718,0,,,,,,192573,0,,,2.9,,,,,,,,952262,6361352,73.87,2672040301
"""Kava Lend""",Lending,12474734.7778828,-2.013703296675103,-14.586745314031887,-22.167812230052938,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""WOOFi""",,12451461.693451937,-1.543246514022167,-11.506920313017435,-15.315765392836623,2.94,5252,4801,3883,0,32506,29761,22504,0,112534,104470,78160,0,2731987,227840.2309041096,2520908,1625168,210236.82060273972,135534.55868493152,0,0,12718665,11647477,5300932,0,27.19,29.29,4801,29761,104470,2520908,210236.82060273972,11647477,25841610,148414651,7.32,34214330954
"""GMTrade""",Derivatives,12367327.822718691,-0.37255531409929055,6.596834543229339,58.966955030890645,,18779,6948,5070,,98989,36627,26727,,154521,57175,41721,,1604968,137620.35470422538,593835,433345,50919.26028169014,37157.80788732394,,,1604968,593835,433345,,,,6948,36627,57175,593835,50919.26028169014,593835,,,,
"""Meld Gold""",RWA,12311983.660953688,6.985466152556354,-14.298054093902357,13.64070484168314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RIF ON CHAIN""",Dual-Token Stablecoin,12162008.679885171,-0.5734643642879926,14.832355808429426,11.237171938815392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Yei Finance""",,12156069.769095168,-2.368889696866797,-21.500477460582957,-76.06140608249059,1.38,1061,366,0,,4706,1590,0,,20644,6888,0,,7873233,662330.8931117314,2799303,22,233454.20087671233,1.8347397260273974,,,12857909,4249610,22,,68.08,204.05,366,1590,6888,2799303,233454.20087671233,4249610,1306,15820,10.37,564304218
"""Troves""",Yield,12138639.942767492,-2.909356894309442,-15.596217564983048,-21.00128004789289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Angle""",CDP,12039922.651027098,0.4216125836859757,-3.4254234119752853,-19.878924607011943,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Brotocol""",Bridge Aggregator,12015012.622686962,-4.655989228527187,-14.35556332558221,-19.09451495880395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Supra Staking""",Staking Pool,12006016.377732698,-0.9312296172686082,-5.23671485821337,-14.521366543959966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""FstSwap""",Dexs,11997952.712801812,-0.03931833657008665,-11.076230957539794,-29.93302304350373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Odyssey Finance""",Yield Aggregator,11970627,0,2.530169870830744,-1.3481222635736267,,0,0,,,3,3,,,25,25,,,3136,261.5338082191781,3136,,261.5338082191781,,,,3136,3136,,,,,,3,25,3136,261.5338082191781,3136,,,,
"""Juicebox""",Launchpad,11945493.543445969,-3.4546229718175128,-25.03284577233172,-28.04326717823054,0.01,0,0,0,,0,0,0,,0,0,0,,32662,2723.9213150684936,32662,32662,2723.9213150684936,2723.9213150684936,,,539873,539873,539873,,,,,,,32662,2723.9213150684936,539873,,,,
"""Kai Finance""",Leveraged Farming,11936395.569885494,-2.2949560228013417,-19.200644257114476,-38.55055364476329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""LumenSwap""",Dexs,11821008.04618196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,225,-99.98,1464359061
"""BTCFi""",,11722794.095631678,-3.7233928835087124,-15.032162486264971,-16.754260349368572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Storm Trade""",Derivatives,11707134.95484219,-0.5111292712819278,-4.36225806871582,-14.478439874077106,0.21,6012,1804,1791,,15773,4733,4733,,64854,19457,19457,,1455087,121350.26926027397,436523,436523,36404.82224657534,36404.82224657534,,,5898313,661420,661407,,3.27,10.92,1804,4733,19457,436523,36404.82224657534,661420,,,,
"""Biswap""",Dexs,11650852.851343703,-1.1590115033315669,-10.940492099767136,-15.955148474441685,0.09,510,,,,3786,,,,29718,,,,475644,39667.40646575343,,,,,,,87758906,,,,3.18,,,,,,,,261291,1997067,-27.87,44711744131
"""Beets""",,11614099.18095793,-4.665271605137013,-25.510593482147854,-43.520050359638205,0.11,1690,253,,,14421,2284,,,69489,10115,,,5316522,449989.4449345047,742872,,66586.40372956253,,,,7433419,1227998,,,1.66,11.39,253,2284,10115,742872,66586.40372956253,1227998,188575,2042518,34.21,512309159
"""Solera""",Lending,11466172.016540667,-2.6184951369743876,-6.778387362186956,-21.30170331255759,,0,0,,,0,0,,,0,0,,,0,,0,,,,,,0,0,,,,,,,,,,,,,,
"""Mystic Finance""",,11258547.688325068,-2.609888036341908,-6.76070772345784,-15.910371948124064,,1469,294,,,9881,1977,,,64750,12953,,,2160560,249119.11515151517,418273,,48228.144393939394,,,,2162029,418567,,,,,294,1977,12953,418273,48228.144393939394,418567,,,,
"""TAU Labs""",Risk Curators,11162660.276549265,-3.9379303311433347,3.6705687080000535,14.948552883563634,,1634,312,,,9529,1893,,,49367,10645,,,623844,84025.71398230089,63508,,8553.909380530973,,,,625478,63820,,,,,312,1893,10645,63508,8553.909380530973,63820,,,,
"""Superlend.xyz""",,11147875.349380964,-1.7523773806274476,-18.265620620704187,-20.495099239478712,,41,4,,,2162,487,,,8673,1808,,,1020386,85097.39682191782,272749,,22746.519342465752,,,,1020581,272757,,,,,4,487,1808,272749,22746.519342465752,272757,,,,
"""EVAA Protocol""",Lending,11133147.25133088,1.4591307340781265,3.9128220750050575,-15.97930196478484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""FlashTrade""",Derivatives,11114174.752344146,-1.9424610427385711,-18.802260268925096,-22.569637004433304,0.31,19971,8994,4497,,164530,51417,25708,,459512,132739,66369,,4244618,356923.12685082876,1156650,373371,97260.8453038674,40446.31046263345,,,14287612,3322268,373371,,0.64,2.2,8994,51417,132739,1156650,97260.8453038674,3322268,,,,
"""Stride""",Liquid Staking,11111752.369936049,-0.6100721989686804,-12.620123967059168,-7.770681994811676,0.07,3591,359,,,26868,2685,,,131682,13159,,,3562170,297075.218630137,393492,,32816.15473972603,,,,21329234,2263701,,,0.54,5.4,359,2685,13159,393492,32816.15473972603,2263701,,,,
"""Helix""",,11091809.578723636,-11.04530495523273,-19.07380291462935,42.91372634298977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949452,4978544,23.96,5564666302
"""Verio""",Liquid Staking,10997304.610521948,-4.366731906731798,-35.09445163458939,-37.474374472666355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""StarGate""",Farm,10993440.221469933,-0.8545152768185522,-19.164978136133552,-42.59421889565805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Mustang Finance""",CDP,10883473.783454742,-0.07665202436093536,-7.045012203194478,-4.406147082098722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MUX Protocol""",Derivatives,10868662.09379277,-2.708492453773521,-12.648680612401805,-11.118770059772674,0.74,157,48,0,,3315,995,0,,16521,4954,0,,828458,69091.1274520548,248523,0,20726.137315068492,0,,,33174771,15605187,4385198,,40.91,136.42,48,995,4954,248523,20726.137315068492,15605187,,,,
"""Wildcat Protocol""",Uncollateralized Lending,10836619.480196271,0.9152798761163764,-26.857259847021258,-28.833777306947134,,48727,2436,,,345324,17267,,,1436027,71803,,,14959025,1247541.701369863,747944,,62376.480438356164,,,,16361353,818058,,,,,2436,17267,71803,747944,62376.480438356164,818058,,,,
"""Gimo""",Liquid Staking,10789651.270173622,-6.621799485308289,-27.820138206017848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PoolTogether""",Yield Lottery,10736282.186245546,-0.8429836235057849,-7.302142135711147,-10.25870840576386,0.04,419,33,33,,3650,478,478,,16379,1313,1313,,911742,76036.78487671234,12785,12785,1066.2339726027396,1066.2339726027396,,,1687448,12818,12818,,2.26,28.17,33,478,1313,12785,1066.2339726027396,12818,,,,
"""Lantern Staked SOL""",Liquid Staking,10709992.192363467,-4.864590012224417,,,,0,30,,,11590,241,,,61967,4360,,,516881,43106.459287671234,13743,,1146.1285479452054,,,,527315,13743,,,,,30,241,4360,13743,1146.1285479452054,13743,,,,
"""Gala Swap""",Dexs,10672180.710799094,-13.071336998754543,89.94275843157139,211.5507243461683,,8217,0,,,24606,0,,,112560,0,,,4225591,846230.197631579,0,,,,,,4225591,0,,,,,,,,,,,926503,4102899,269.18,427529710
"""TheDeep""",Liquidity manager,10656781.174981639,0.42401493856377737,67.00397798496613,64.58574485265122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""D2 Finance""",Onchain Capital Allocator,10627032.171566028,-1.2603039776908307,-6.622989021151801,16.281527421204878,,52715,10543,,,0,0,,,107475,21495,,,1659895,138430.69534246577,331979,,27686.13906849315,,,,2012889,403034,,,,,10543,,21495,331979,27686.13906849315,403034,,,,
"""DeSyn Protocol""",,10567292.370339602,-4.11026571910878,-15.397867186546591,-12.074294613296768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ACryptoS""",Liquidity manager,10551155.215915749,-0.04749580833894939,-0.001162138534966029,-0.0906826051118225,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Swaap""",,10428693.669638002,-1.092656528275764,-6.237820305834799,-4.300383088749661,,0,0,,,1,0,,,1,0,,,1,0,0,,0,,,,1,0,,,,,,,,,,,684870,8510503,33993.21,6215124852
"""MORE""",,10368184.64588866,-2.1798817548554617,-24.793311558196603,-41.16660416051256,,2585,324,,,19847,2354,,,54560,7257,,,430028,35863.15704109589,57900,,4828.701369863014,,,,432613,58224,,,,,324,2354,7257,57900,4828.701369863014,58224,,,,
"""Danogo""",Dexs,10326557.882912144,-1.7800659255242393,-13.607488084927452,-20.116778333054093,,17,,,,0,,,,40,,,,562,46.8692602739726,,,,,,,1778,,,,,,,,,,,,41298,477916,1844.09,26079803
"""Hatom Protocol""",,10287929.410420772,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Tropykus Finance""",Lending,10286131.531852653,-3.0024983732187227,-14.346256391900397,0.1399999053502897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Revert""",,10111993.104704874,-5.96551457194512,-31.193492947246813,-11.080624692009087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Maya Protocol""",Cross Chain Bridge,10083522.925386913,-3.05284480067545,-23.527791769440828,-28.577846426063903,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Stronghold Staked SOL""",Liquid Staking,10018452.846775878,-6.363680793175582,-22.47864540988957,-14.254882707503743,,0,2,,,10660,144,,,57970,1293,,,953722,79537.80186301371,10910,,909.8641095890412,,,,1117491,10910,,,,,2,144,1293,10910,909.8641095890412,10910,,,,
"""Sailor""",Dexs,9999519.93702653,-4.72174724226605,-15.687973706319363,-42.85410032485773,,13747,2200,0,,82124,13140,0,,307249,49161,0,,7921620,667961.531301939,1267453,0,106873.32221606649,,,,8060469,1289667,0,,,,2200,13140,49161,1267453,106873.32221606649,1289667,9901850,65811572,58.37,3486622059
"""Balanced""",,9997567.925692603,-0.816681514222334,-11.175012095571832,-15.841966087363357,0.09,83,,,,874,,,,2541,,,,157169,13107.464000000002,,,,,,,982418,,,,32.68,,,,,,,,126542,1105457,34.11,221828930
"""Mainstreet""",Basis Trading,9990418.24312355,0.018075374433786495,7.547580708754481,67.29802888549284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Laine SOL""",Liquid Staking,9988671.889626304,-4.82882063708178,-21.325460521143413,-43.24192530575889,,0,0,,,10494,0,,,72757,0,,,1104612,92121.61446575343,29483,,2458.8014246575344,,,,1268568,30175,,,,,,,,29483,2458.8014246575344,30175,,,,
"""FxDAO""",Partially Algorithmic Stablecoin,9981093.789210802,-4.137910477927764,-16.642414023891362,-22.57363632829734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Chainflip""",Dexs,9870241.324940633,-5.92971876234962,-11.696150313533597,-23.06760959581848,2.83,31467,14379,,0,180798,101170,,0,526486,255514,,0,7146278,595980.0063561643,2714073,,226346.25238356166,,0,,8752436,3485590,,0,4.43,9.13,14379,101170,255514,2714073,226346.25238356166,3485590,23212511,170687277,148.25,5900297508
"""Autopilot""",Yield Aggregator,9803057.862552129,-1.0558339029692472,-1.4505807439917509,-36.28215477478634,,0,0,,,50342,2517,,,245114,12256,,,1487326,234581.36497409327,45483,,7173.588186528498,,,,1487326,45483,,,,,,2517,12256,45483,7173.588186528498,45483,,,,
"""Badger DAO""",Yield Aggregator,9710544.704604333,-2.4615994997073605,-17.663899040558704,-63.65055059137505,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Aftermath Finance""",,9680172.547823,-2.725456641325032,-38.45325076098992,-52.63346728362439,,123,,,,1447,,,,7081,,,,208817,24829.64640625,,,,,,,208940,,,,,,,,,,,,60568,886668,117.22,346467994
"""Djed Stablecoin""",Dual-Token Stablecoin,9669909.601542337,-2.4868643413598273,-18.73118264907559,-26.435394574573984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Hegic""",Options,9655946.787263947,-1.9732780680640882,-20.00008129827683,-25.45945718652769,1.65,12581,,,,81590,,,,175048,,,,1455272,121365.69775342465,,,,,,,10882239,,,,7.62,,,,,,,,,,,
"""Token Tool""",,9524588.599025588,-4.733858308896871,-21.421757190757404,-14.800711195845956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Meridian AMM""",Dexs,9502382.433659827,,,,,81,,,,362,,,,1073,,,,91080,8452.668292682927,,,,,,,91161,,,,,,,,,,,,863006,4150025,75.12,1630471473
"""Altitude.Fi""",Lending,9442480.144292407,-2.6684119706044624,-24.94628239023661,-31.196975552547013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""HYDRO""",,9361850.222064566,-0.9869531180221587,5.8174211605886885,-10.77390883698319,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Kofi Finance""",Liquid Staking,9296951.090525405,-1.8948811997865662,-20.837340702561967,-29.047811659799567,,1098,110,,,7696,770,,,12575,1259,,,232333,38022.66946236559,23236,,3802.7088172043013,,,,232333,23236,,,,,110,770,1259,23236,3802.7088172043013,23236,,,,
"""Symbiosis""",Cross Chain Bridge,9290559.784768427,,,-4.141975623467116,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""THENA""",,9289434.168669682,,,,2.93,13700,13694,13693,32974.371028067224,92122,91951,91922,133438.86376435056,315676,314115,313861,551953.5407708852,8869392,739682.9930958905,8857501,8775822,738691.3162739726,731879.5114520548,11631146.770359013,970005.7744924065,29570417,29558526,29315470,69506518.41235825,7.19,7.23,-19280.371028067224,-41487.863764350564,-237838.54077088519,-2773645.770359013,-231314.4582184339,-39947992.412358254,11148525,89080883,114.02,39574377139
"""Mansory""",RWA,9267032.820696723,-2.5785568861089456,-20.13803128769532,-32.8158160878828,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Mole""",Yield,9230501.665829085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Drop""",Liquid Staking,9219442.669035615,-0.1862377550276265,-17.079290117245836,-41.38332050729547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Factor""",,9143618.887497207,-8.461890152501383,-38.2512121463629,-43.52921043351321,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""VNX""",RWA,8902174.737958623,1.588427504243623,-1.7935756445595548,5.625682176343742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Valdora Finance""",Liquid Staking,8694697.666554736,-7.900686503798375,-9.731775640593632,-21.267374085304645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Splashing Stake""",Liquid Staking,8645998.525717376,-1.9809100097041201,-18.587592665660324,-30.861052510271207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Superfluid""",Payments,8625886.686123649,-4.302697797827618,-21.152870057840843,-26.079765426391628,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ExinPool""",Liquid Staking,8610690,-3.101417678084141,-20.13413792591713,-23.65682690000803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Stables Labs USDX""",Basis Trading,8498439.145553865,-1.0137669072064073,-15.219535363299922,-70.50315867048882,0.99,0,,,,0,,,,0,,,,11759995,980751.3638356165,,,,,,,14475709,,,,,,,,,,,,,,,
"""Ferro""",Dexs,8311396.662941572,-0.231865594961985,-1.6854757939288632,-3.9055618000311614,0.06,0,0,0,,89,44,36,,975,488,390,,47198,3936.1838904109595,23599,18876,1968.0919452054798,1574.2066849315067,,,321853,160944,128750,,49.59,99.08,,44,488,23599,1968.0919452054798,160944,0,137126,-90.47,810284605
"""ZyFAI""",Yield,8266802.10438967,-15.34000685857074,-19.846574288022776,-15.537580957456246,0.2,955,955,0,,3096,3096,0,,6642,6642,0,,46131,3847.1990136986306,46131,0,3847.1990136986306,,,,47086,47086,0,,21.24,21.24,955,3096,6642,46131,3847.1990136986306,47086,,,,
"""Equilibre""",Dexs,8247604.241439283,13.37243095609393,16.26638625706857,21.331288973783593,,9,,,0,26,,,0,116,,,0,2596,216.49928767123288,,,,,0,,321431,,,0,,,,,,,,,1354,9690,70.06,116908003
"""Scrub Money""",,8223119.685513617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Deri""",Options,8213517.144457258,-1.4677517379808458,-20.80098170316552,-23.443779727570902,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KittyPunch""",,8193147.939855802,10.3181591447082,-3.077043243679061,-22.888864033043582,,676,,,,4596,,,,13043,,,,364467,34771.31426646889,,,,,,,365143,,,,,,,,,,,,284553,2272224,236.63,297316546
"""Nostra""",,8160952.627079572,4.020426016678273,-41.12069439292952,-51.308425455698604,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539701,3840051,221.44,951652884
"""MovePosition""",Lending,8155136.07676859,-0.4865544252330318,294.8369985808543,-5.217261238282195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Boros""",Derivatives,8106906.6081080865,-2.9177820565495103,-12.32955599328697,13.65438441280012,,4319,3980,,,27687,26410,,,102880,97862,,,412816,66841.05872340426,371678,,60180.20382978724,,,,417135,375658,,,,,3980,26410,97862,371678,60180.20382978724,375658,,,,
"""Taraswap""",Dexs,8105660.783615816,0.0006080024410588768,227.19739954226768,136.20976556792994,0.02,5,0,0,,1118,0,0,,1374,0,0,,67779,5861.343068181819,0,0,,,,,76089,0,0,,11.67,,,,,,,,940,183758,251.6,17035498
"""Thruster""",Dexs,8088270.691625708,-1.852496119512053,-16.11722470286592,-21.216903204117603,,122,,,,6699,,,,12305,,,,587721,49014.32120547946,,,,,,,9746879,,,,,,,,,,,,143583,1096570,-163.95,8936038335
"""HawkFi""",Liquidity manager,8059794.380289676,,,0,0.003,13508,1081,0,,86245,6899,0,,545268,43623,0,,15159802,1264285.9530958903,1212778,0,101142.36252054795,,,,47604014,3808316,0,,0,0.05,1081,6899,43623,1212778,101142.36252054795,3808316,,,,
"""Lendle""",,8015381.46503005,-1.8233293049713133,-21.871427899748934,-20.40854750463663,0.03,152,37,0,,988,236,0,,8781,1907,0,,94883,7912.982246575342,28578,2,2383.326904109589,0.32042105263157894,,,233031,75203,2,,2.5,11.53,37,236,1907,28578,2383.326904109589,75203,,,,
"""ShMonad""",Liquid Staking,7976494.065566634,-5.29057087934267,-17.26896335489034,-46.15090731027318,,4145,207,,,34835,1742,,,151049,7553,,,363720,151666.25753424657,18186,,7583.312876712329,,,,367865,18393,,,,,207,1742,7553,18186,7583.312876712329,18393,,,,
"""ShardingDAO""",Staking Pool,7919937.328062712,-4.458782020520198,-20.328127856497755,-23.033358737092126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BiFi""",Lending,7919288.6262285765,-3.684882916580013,-18.12904106586236,-17.904496104893493,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Tapp Exchange""",Dexs,7892591.484067153,,,,,559,185,,,7920,2613,,,35968,11869,,,212440,27517.760000000002,70190,,9091.845106382978,,,,212440,70190,,,,,185,2613,11869,70190,9091.845106382978,70190,3980656,52258151,-36.98,1443447579
"""ZeroLend""",,7872084.738293454,-2.0963923809908542,-16.266061224148594,-22.988254992998346,,9049,5037,0,,48107,17456,0,,149528,55279,0,,2011718,167771.7696438356,890778,10,74288.44471232875,1.0643356643356645,,,2029264,898269,10,,,,5037,17456,55279,890778,74288.44471232875,898269,,,,
"""Digital Gold""",RWA,7829036.413581561,3.8066450606811935,-3.7982856537061447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Indigo""",CDP,7763599.83060274,-2.5317568517305764,-24.58144360084065,-32.30399001924722,0.47,290,290,21,,826280,32905,3188,,844632,49787,9632,,6576279,548443.6513972604,2731133,559761,227769.00964383563,46682.53380821918,,,8272072,4020706,986391,,0.36,6.19,290,32905,49787,2731133,227769.00964383563,4020706,,,,
"""Uranium.io""",RWA,7663337.267551886,-1.7123080931935468,-0.24563747010921214,6.033073232707221,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""GrowiHF""",Yield,7615170.514035621,2.6355344122356437,3.1884504580387865,20.22524183183374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
