Name,Category,TVL,1d Change,7d Change,1m Change,Mcap/TVL,Fees 24h,Revenue 24h,Holders Revenue 24h,Incentives 24h,Fees 7d,Revenue 7d,Holders Revenue 7d,Incentives 7d,Fees 30d,Revenue 30d,Holders Revenue 30d,Incentives 30d,Fees 1Y,Monthly Avg 1Y Fees,Revenue 1Y,Holders Revenue 1Y,Monthly Avg 1Y Rev,Monthly Avg 1Y Holders Revenue,Incentives 1Y,Monthly Avg 1Y Incentives,Cumulative Fees,Cumulative Revenue,Cumulative Holders Revenue,Cumulative Incentives,P/F,P/S,Earnings 24h,Earnings 7d,Earnings 30d,Earnings 1Y,Monthly Avg 1Y Earnings,Cumulative Earnings,Spot Volume 24h,Spot Volume 7d,Spot Change 7d,Spot Cumulative Volume
"""Spectra""",,41756966.287385404,-1.450223689447908,-4.506567061352626,0.9166832815163142,0.06,599,479,97,0,4690,3753,256,0,11636,9297,1291,0,278044,23188.10783561644,222416,99714,18548.88504109589,8315.874410958904,0,0,489250,391387,99811,0,18.66,23.36,479,3753,9297,222416,18548.88504109589,391387,6299338,18922276,235.45,714991251
"""kpk""",Risk Curators,41710047.53464921,-5.5556624137901185,-45.6213331822521,-50.445795165348784,,3607,0,0,,35062,0,0,,93045,0,0,,202914,16922.471671232877,327,0,27.270904109589043,,,,206521,327,0,,,,,,,327,27.270904109589043,327,,,,
"""Yala""",CDP,41705130.25949642,109.35044104777441,190396.3919244621,-54.58285175822449,0.06,0,0,0,,11249,2250,0,,72730,14546,0,,3707439,430742.14946564886,741493,0,86149.03404580153,,,,3707439,741493,0,,3.19,15.96,,2250,14546,741493,86149.03404580153,741493,,,,
"""dHEDGE""",,41676253.175343014,,,,0.16,2795,1088,,,24240,9226,,,143458,66150,,,2364185,199742.81872586996,1087973,,93310.23439710283,,,,3674369,2377502,,,4.03,8.74,1088,9226,66150,1087973,93310.23439710283,2377502,,,,
"""Across""",Cross Chain Bridge,41592129.08920793,1.3979042199276714,-12.238644919491202,-8.102796718095188,0.65,0,0,,,0,0,,,0,0,,,2090617,174351.7300821918,0,,,,,,18431053,0,,,,,,,,,,,,,,
"""fx Protocol""",Dual-Token Stablecoin,41201865.79683919,-0.5819545727937528,-28.136644697900408,-30.589254793801796,0.05,0,0,,0,35450,10897,,0,175911,53857,,0,7395591,616772.0275068494,1075801,,89718.856,,0,,10873380,3684145,,0,1.09,3.57,,10897,53857,1075801,89718.856,3684145,,,,
"""Brickken""",RWA,41040530.13756274,-0.025590122829556267,-0.06209449305654547,-0.09471991147687481,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Aquarius Stellar""",Dexs,40946179.5797723,-0.3865589485437914,-5.520003160383275,9.282624299432598,0.34,2032,1016,1016,,11273,5637,5637,,41295,20646,20646,,279187,35410.217833333336,139589,139589,17704.538166666665,17704.538166666665,,,279187,139589,139589,,28.45,56.91,1016,5637,20646,139589,17704.538166666665,139589,1567003,7517838,50.77,394786144
"""Manta CeDeFi""",Basis Trading,40943299.24919379,-1.5861597782207126,-6.383320337632585,-6.510676870271771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Neutral Trade""",Onchain Capital Allocator,40823202.81824614,0.15749861745654728,-4.698247474438286,-8.803735867610236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SaucerSwap""",Dexs,40622546.72212518,,-5.718116041368981,-16.56881988700561,0.32,10394,1732,,0,67463,11243,,0,293218,48867,,0,5591838,466343.96909589047,931960,,77722.91068493151,,0,0,11740579,1956734,,0,3.79,22.74,1732,11243,48867,931960,77722.91068493151,1956734,6143690,34678333,149.17000000000002,5963787588
"""ApeX Protocol""",Derivatives,40524002.19909642,-2.8009779401223214,-5.177785276121108,-12.584311514704272,1.01,69047,34524,34524,,231436,115717,115717,,783902,391950,391950,,23262204,1940004.0815342467,8220129,8220129,2214342.7146902657,2214342.7146902657,,,26093119,8220129,8220129,,4.35,8.71,34524,115717,391950,8220129,2214342.7146902657,8220129,,,,
"""Clearpool""",,40247722.88508504,0.12736927295476508,-19.908074287720492,-21.27627412559397,0.51,,,,0,,,,0,,,,0,,,,,,,0,0,,,,0,,,,,,,,,,,,
"""Firelight""",Farm,40128082.22902562,-0.9160843916456582,-16.456388505333543,-24.860073745068917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Sovryn""",,39566442.517834276,-2.4909994025641296,-13.804887481663473,-15.455113297359915,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Aegis""",Basis Trading,39447623.87679323,-0.29283384365573456,-1.6336822902304637,-7.559208412641322,,0,0,,,32243,0,,,184411,0,,,1106391,92269.97819178083,0,,,,,,1106391,0,,,,,,,,,,,,,,
